ID	C1	C2	C3	E1	E2	E3	F1	F2	F3
C17orf105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf107	0.219332	0.118653	0.206767	0.077583	0.087553	0.035916	0.308019	0.094132	0.128624
C17orf112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf47	0.033442	0.000000	0.035040	0.029593	0.100014	0.054706	0.000000	0.000000	0.000000
C17orf49	40.359900	41.490100	45.132000	77.721300	70.835400	85.439200	38.934800	41.574300	52.879200
C17orf50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf51	4.545900	5.313420	5.035950	8.825510	8.445060	9.539680	5.603040	5.995890	6.231450
C17orf53	7.661590	8.041640	7.682510	4.391370	5.053130	5.053280	9.007560	9.275100	10.568300
C17orf58	5.808010	5.405360	7.291410	11.881200	11.285300	10.719800	6.638950	6.479060	6.601350
C17orf59	9.695740	10.409700	10.160500	8.146230	7.472690	9.413660	11.556900	10.800100	13.926500
C17orf62	27.537300	29.301400	30.666700	27.177300	26.333300	29.233000	33.565100	33.266700	40.202800
C17orf64	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf67	0.928126	0.772096	1.009950	0.979376	1.209680	0.875756	1.039500	0.886774	0.907581
C17orf74	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf75	2.490970	2.195140	2.355080	3.900350	3.866490	3.218820	2.924230	2.275120	2.392280
C17orf77	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf78	0.000000	0.035300	0.000000	0.034686	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf80	13.938700	13.068300	14.635900	14.116600	15.431100	12.289100	12.424400	11.417800	10.019500
C17orf82	0.099530	0.044828	0.052170	0.220397	0.000000	0.081291	0.107167	0.085081	0.097375
C17orf85	13.452700	14.051700	13.777000	12.207400	11.805800	11.985000	14.155600	13.857900	12.251300
C17orf89	189.842000	189.745000	191.136000	148.985000	141.093000	173.756000	212.654000	197.478000	220.899000
C17orf96	12.997800	12.714900	13.373700	10.922400	10.249100	12.314700	12.940200	13.197100	16.653000
C17orf97	4.568730	3.687250	4.954530	3.059660	3.404020	4.416810	4.068570	4.217370	4.079680
C17orf98	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf99	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C18orf21	11.943600	13.885600	11.546200	14.412100	15.423200	13.107600	10.259600	11.915100	8.002070
C18orf25	6.874350	7.241340	7.120710	8.950420	9.019190	7.937210	6.959730	7.577880	6.681070
C18orf32	12.167600	11.408400	12.933800	24.712900	21.919500	20.668200	12.723900	15.589500	11.744000
C18orf42	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C18orf54	1.024180	1.136150	1.318540	0.940785	1.709540	0.921762	0.921131	0.795091	0.335028
C18orf61	0.000000	0.000000	0.000000	0.022375	0.050474	0.020706	0.000000	0.043406	0.000000
C18orf63	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C18orf65	0.275090	0.247925	0.756643	0.426024	0.342764	0.253108	0.074184	0.795453	0.168118
C18orf8	10.488800	11.937000	10.268200	16.652000	18.284300	15.862700	11.620700	12.149200	11.608200
C19orf12	3.526570	3.626410	3.741160	3.910810	3.751250	4.270430	3.678680	3.934760	4.398770
